City	lat	lon
Moscow	55.7522200	37.6155600
Saint-Peterburgh	59.8944400	30.2641700
Novosibirsk	55.0411100	82.9344400
Samara	53.2000000	50.1500000
Kazan	55.7877000	49.1248000
Omsk	55.0000000	73.4000000
Ufa	54.7750000	56.0375000
Volgograd	48.8047200	44.5858300
Perm	58.0000000	56.2500000
Krasnoyarsk	56.0097200	92.7916700
Voronezh	51.6699000	39.1922700
